time,alt,MN,TRA,Wf,Fn,SmHPC,SmLPC,SmFan,T48,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,epr,phi,Ps30,NfR,NcR,BPR,farB,htBleed,PCNfRdmd,W31,W32
0,0,0,0,1.3799,18073,36.564,7.5386,5.1091,1283.6,518.67,551.02,1164.5,1059.1,14.623,16.053,184.69,1258.3,7678.4,1.0519,28.903,171.88,1258.3,7449.6,9.4495,0.013078,282.29,48,16.487,9.8924
1.005,0,0.0045455,1.8182,1.3804,17848,36.556,7.5393,5.1151,1283.7,518.67,551.02,1164.5,1059.2,14.623,16.054,184.71,1258.3,7678.4,1.0518,28.909,171.9,1258.3,7449.6,9.4512,0.013081,282.3,49.345,16.488,9.8928
2.01,0,0.0091136,3.6455,1.3805,17630,36.556,7.5396,5.1252,1283.7,518.68,551.02,1164.5,1059.2,14.625,16.055,184.72,1258.3,7678.4,1.0517,28.908,171.91,1258.3,7449.6,9.455,0.013081,282.3,50.696,16.49,9.8938
3.015,0,0.013682,5.4727,1.3809,17416,36.554,7.5394,5.1384,1283.8,518.69,551.03,1164.5,1059.2,14.626,16.057,184.75,1258.3,7678.5,1.0516,28.915,171.93,1258.3,7449.6,9.46,0.013084,282.3,52.048,16.491,9.8949
4.02,0,0.01825,7.3,1.4652,17695,35.451,7.788,5.2477,1310.4,518.7,551.54,1172.1,1075.8,14.629,16.094,189.56,1269.3,7698,1.0536,29.866,176.61,1269.2,7465.1,9.3931,0.01367,284.21,53.4,16.748,10.049
5.025,0,0.022818,9.1273,1.5492,18680,34.898,7.9885,5.4826,1332,518.72,553.27,1183.7,1084.3,14.631,16.192,196.72,1299,7735.2,1.056,30.412,183.38,1299,7489.4,9.4255,0.014042,287.18,54.751,17.239,10.343
6.03,0,0.027386,10.955,1.6294,19732,34.451,8.0741,5.7387,1351.5,518.75,555.2,1194.7,1091.5,14.634,16.298,203.61,1330.8,7771.1,1.0585,30.893,189.88,1330.7,7511.1,9.4775,0.014373,289.97,56.094,17.714,10.628
7.035,0,0.031955,12.782,1.7113,20775,34.013,8.1446,6.112,1370.8,518.78,557.13,1205.5,1098.5,14.638,16.404,210.52,1362.5,7806.4,1.0609,31.368,196.4,1362.4,7532.2,9.5186,0.014702,292.72,57.428,18.188,10.913
8.04,0,0.036523,14.609,1.7972,21811,33.554,8.2179,6.4567,1390.6,518.81,559.06,1216.3,1106.3,14.642,16.511,217.6,1394,7841.8,1.0635,31.859,203.08,1393.8,7553.3,9.5465,0.015044,295.48,58.763,18.666,11.2
9.045,0,0.041091,16.436,1.8853,22850,33.117,8.2926,6.768,1410.1,518.85,561.01,1227.1,1113.9,14.646,16.619,224.83,1425.8,7877.5,1.0662,32.333,209.91,1425.5,7574.4,9.5629,0.015379,298.24,60.098,19.154,11.493
10.05,0,0.045659,18.264,1.9748,23889,32.732,8.4319,7.0517,1429.2,518.89,562.99,1237.7,1121.2,14.651,16.729,232.11,1457.6,7912.9,1.069,32.793,216.79,1457.3,7595.1,9.5726,0.015707,300.95,61.432,19.644,11.786
11.055,0,0.050227,20.091,2.0654,24925,32.38,8.5741,7.3095,1447.8,518.93,564.98,1248.2,1128.2,14.656,16.84,239.45,1489.4,7948.1,1.0719,33.236,223.72,1489,7615.4,9.5758,0.016028,303.63,62.761,20.135,12.081
12.06,0,0.054795,21.918,2.1448,25869,32.137,8.6626,7.5874,1463.2,518.98,566.88,1257.3,1133.4,14.661,16.945,246.04,1519.2,7979.7,1.0744,33.58,229.93,1518.8,7632.8,9.5857,0.016282,305.99,63.972,20.582,12.349
13.065,0,0.059364,23.745,2.2305,26778,31.824,8.7229,7.9512,1480,519.04,568.79,1266.6,1139.7,14.667,17.047,252.8,1547.9,8011,1.0771,33.979,236.31,1547.4,7649.9,9.58,0.016573,308.36,65.184,21.029,12.617
14.07,0,0.063932,25.573,2.3175,27698,31.521,8.7405,8.2908,1496.4,519.09,570.82,1276,1145.7,14.674,17.152,259.73,1577,8042.9,1.0799,34.352,242.87,1576.4,7666.6,9.5643,0.016853,310.77,66.395,21.486,12.891
15.075,0,0.0685,27.4,2.4098,28682,31.205,8.7593,8.6146,1513.6,519.16,572.89,1285.4,1152.3,14.681,17.263,266.81,1605.4,8074.8,1.0828,34.763,249.56,1604.7,7683.1,9.558,0.017156,313.21,67.607,21.948,13.169
16.08,0,0.073068,29.227,2.5191,29793,30.817,8.9079,8.9539,1533.3,519.22,574.96,1296,1160.2,14.688,17.386,275.03,1633.8,8110.6,1.0865,35.24,257.34,1632.9,7703.4,9.5342,0.017511,315.93,68.818,22.477,13.486
17.085,0,0.077636,31.055,2.6202,30911,30.563,9.0293,9.2613,1550.2,519.3,577.1,1306.1,1166,14.696,17.512,283.06,1662.7,8146.2,1.0899,35.607,264.91,1661.7,7722.8,9.5189,0.017793,318.54,69.956,23.009,13.805
18.09,0,0.082205,32.882,2.721,31918,30.259,9.1274,9.5329,1567.4,519.37,579.06,1315.4,1172.9,14.704,17.629,290.61,1689,8178.3,1.0932,36.007,272.04,1687.8,7740.1,9.5,0.018096,320.94,71.039,23.494,14.097
19.095,0,0.086773,34.709,2.8236,32920,29.96,9.2227,9.8077,1584.4,519.45,581.03,1324.6,1179.7,14.713,17.746,298.23,1715.2,8210.2,1.0967,36.401,279.25,1713.9,7757.1,9.4774,0.018396,323.32,72.121,23.983,14.39
20.1,0,0.091341,36.536,2.9276,33920,29.67,9.3866,10.103,1601.2,519.54,583.01,1333.7,1186.3,14.722,17.865,305.88,1741.4,8241.9,1.1001,36.787,286.5,1740,7773.8,9.453,0.018693,325.68,73.204,24.471,14.683
21.105,0,0.095909,38.364,3.0322,34912,29.395,9.5864,10.376,1617.7,519.62,584.99,1342.7,1192.7,14.731,17.984,313.55,1767.5,8273.2,1.1037,37.161,293.75,1765.9,7790.1,9.4273,0.018983,327.99,74.287,24.958,14.975
22.11,0,0.10048,40.191,3.1367,35897,29.12,9.7704,10.629,1633.7,519.72,586.98,1351.4,1198.8,14.741,18.103,321.19,1793.5,8303.9,1.1073,37.518,300.97,1791.7,7805.8,9.4011,0.019263,330.26,75.355,25.442,15.265
23.115,0,0.10505,42.018,3.2258,36748,28.918,9.8609,10.844,1646.7,519.81,588.88,1359,1203.5,14.751,18.213,327.82,1817,8330.7,1.1103,37.798,307.24,1815,7818.3,9.3854,0.019485,332.22,76.296,25.868,15.521
24.12,0,0.10961,43.845,3.3221,37575,28.667,9.9433,11.046,1660.9,519.92,590.79,1366.7,1209,14.762,18.32,334.72,1839.6,8357.7,1.1136,38.116,313.77,1837.4,7830.9,9.3574,0.019736,334.23,77.238,26.301,15.78
